FG%,3P%,FT%,FTA,TRB,AST,TOV,STL,BLK,Opponent,Point_Differential,Home,Win,Team,Opponent_Win_Rate
0.483,0.366,0.872,39.0,46.0,26.0,9.0,4.0,10.0,NOP,12,1,1,LAL,0.3170731707317073
0.513,0.394,0.867,15.0,39.0,18.0,22.0,1.0,0.0,PHO,-17,1,0,LAL,0.5476190476190477
0.5,0.419,0.846,26.0,38.0,26.0,11.0,7.0,7.0,TOR,3,0,1,LAL,0.5609756097560976
0.429,0.4,0.862,29.0,35.0,15.0,14.0,8.0,2.0,BOS,-21,0,0,LAL,0.6829268292682927
0.482,0.361,0.63,27.0,52.0,25.0,10.0,3.0,8.0,PHI,4,0,1,LAL,0.5542168674698795
0.494,0.432,0.739,23.0,43.0,27.0,11.0,4.0,7.0,SAS,-13,1,0,LAL,0.7560975609756098
0.432,0.189,0.767,43.0,54.0,20.0,22.0,13.0,8.0,PHO,2,0,1,LAL,0.5476190476190477
0.527,0.333,0.821,39.0,48.0,32.0,7.0,7.0,2.0,UTA,8,0,1,LAL,0.2682926829268293
0.386,0.158,0.609,23.0,43.0,16.0,11.0,7.0,3.0,LAC,-15,0,0,LAL,0.5060240963855421
0.481,0.375,0.621,29.0,38.0,22.0,17.0,7.0,4.0,PHO,-24,0,0,LAL,0.5476190476190477
0.506,0.367,0.636,11.0,25.0,19.0,16.0,7.0,5.0,HOU,-23,1,0,LAL,0.6341463414634146
0.528,0.395,0.889,18.0,41.0,25.0,16.0,14.0,4.0,SAC,24,1,1,LAL,0.2682926829268293
0.451,0.282,0.677,31.0,33.0,28.0,21.0,10.0,3.0,DET,-22,1,0,LAL,0.7317073170731707
0.584,0.344,0.871,31.0,42.0,26.0,20.0,9.0,4.0,MEM,7,1,1,LAL,0.3048780487804878
0.475,0.268,0.805,41.0,45.0,30.0,11.0,4.0,6.0,MEM,6,1,1,LAL,0.3048780487804878
0.506,0.355,0.667,21.0,44.0,30.0,15.0,11.0,6.0,NOP,8,0,1,LAL,0.3170731707317073
